cjis,statutory_code,code_type,literal_display,t,lei,hier,sc,offense_descr,parens,PC1192_7_C,PC1192_8,PC667_5,code_section
36055,288(A),PC,L&L W/CHILD UNDER 14,F,700,6000,16,288(A) PC-LEWD OR LASCIV ACTS W/CHILD UNDER 14,NA,NA,NA,TRUE,F_PC_288(A)
36058,288(B),PC,L&L W/CHILD U/14 W/FORCE,F,700,6000,16,288(B) PC-LEWD/LASCIV ACT W/CHILD -14:FORCE,NA,NA,NA,TRUE,F_PC_288(B)
36082,288(C),PC,L&L W/CHILD 14 OR 15,F,700,77900,16,288(C) PC-LEWD/LASCIV ACTS W/CHILD OF 14/15,NA,TRUE,NA,NA,F_PC_288(C)
36083,288.5,PC,CONTINUED SEX ABUSE/CHILD,F,0,2500,16,288.5 PC-CONTINUOUS SEXUAL ABUSE OF CHILD,NA,TRUE,NA,TRUE,F_PC_288.5
36084,288.5(A),PC,CONT SEX ABUSE OF CHILD,F,700,2500,16,288.5(A) PC-CONTINUOUS SEXUAL ABUSE OF CHILD,NA,TRUE,NA,TRUE,F_PC_288.5(A)
36109,288(B)(1),PC,L&L W/CHILD -14:FORCE/ETC,F,700,6000,16,288(B)(1) PC-L&L ACTS WITH CHILD -14:FORCE/ETC,NA,TRUE,NA,TRUE,F_PC_288(B)(1)
36110,288(B)(2),PC,CTAKR L&L DEP ADL:FRC/ETC,F,700,6000,16,288(B)(2) PC-CARETKR:L&L ACT:DEP ADLT:FRC/ETC,NA,TRUE,NA,TRUE,F_PC_288(B)(2)
36111,288(C)(1),PC,L&L ACTS W/CHILD:AGE SPEC,F,700,77900,16,288(C)(1) PC-L&L ACTS W/CHILD:AGE SPECIFIC,NA,TRUE,NA,NA,F_PC_288(C)(1)
36112,288(C)(2),PC,L&L W/DEP ADLT BY CARETKR,F,700,77900,16,288(C)(2) PC-L&L ACT W/DEP ADULT BY CARETAKER,NA,TRUE,NA,NA,F_PC_288(C)(2)
37026,266J,PC,PROCURE CHILD UND 14 L&L,F,700,5900,16,266J PC-PROCURE/ETC CHILD UNDR 14 FOR LEWD ACT,NA,TRUE,NA,NA,F_PC_266J
37042,266J,PC,PROCURE CHILD UND 16 L&L,F,700,5900,16,266J PC-PROCURE/ETC CHILD UNDR 16 FOR LEWD ACT,NA,TRUE,NA,NA,F_PC_266J
35210,11380.5,HS,FURN/ETC MNR W/PHENCYDLID,F,820,8300,14,11380.5 HS-FURN/ETC MINOR WITH PHENCYCLIDINE,NA,TRUE,NA,NA,F_HS_11380.5
35211,11380.5(A),HS,FURNISH MINOR W/PCP,F,820,8300,14,11380.5(A) HS-FURN/ETC MINOR W/PHENCYCLIDINE,NA,TRUE,NA,NA,F_HS_11380.5(A)
23189,487(D)(2),PC,GRAND THEFT:FIREARM,NA,500,46500,9,487(D)(2) PC-GRAND THEFT:FIREARM,NA,TRUE,NA,NA,NA_PC_487(D)(2)
26120,25541,CC,FRAUD:USE DEVICE/SCHEME,F,550,14710,9,25541 CC-USE OF DEVICE/SCHEME/ETC TO DEFRAUD,NA,TRUE,NA,NA,F_CC_25541
55127,7051,HS,REMOVE HUMAN REMAIN:UNLAW,F,501,46200,9,7051 HS-UNLAWFUL REMOVAL HUMAN REMAINS,NA,TRUE,NA,NA,F_HS_7051
22006,460.1,PC,BURGLARY:FIRST DEGREE,F,410,12900,8,460.1 PC-BURGLARY:FIRST DEGREE,NA,TRUE,NA,NA,F_PC_460.1
22009,461.1,PC,BURGLARY:FIRST DEGREE,F,410,12900,8,461.1 PC-BURGLARY:FIRST DEGREE,NA,TRUE,NA,NA,F_PC_461.1
22021,459,PC,BURGLARY:FIRST DEGREE,F,410,12900,8,459 PC-BURGLARY:FIRST DEGREE,NA,TRUE,NA,NA,F_PC_459
22122,459/12022.7,PC,BURGLARY WITH GBI,F,0,37390,8,NA,NA,TRUE,NA,TRUE,F_PC_459/12022.7
22124,460(A),PC,BURGLARY:FIRST DEGREE,F,410,12900,8,460(A) PC-BURGLARY:FIRST DEGREE,NA,TRUE,NA,TRUE,F_PC_460(A)
10004,207,PC,KIDNAPPING,F,0,7000,7,207 PC-KIDNAPPING,NA,NA,NA,TRUE,F_PC_207
10005,208,PC,KIDNAPPING,F,0,7000,7,208 PC-KIDNAPPING,NA,NA,NA,TRUE,F_PC_208
10006,209,PC,KIDNAPPING FOR RANSOM,F,0,2000,7,209 PC-KIDNAPPING FOR RANSOM,NA,TRUE,NA,TRUE,F_PC_209
10009,4503,PC,CONFINED PRSN HOLD HOSTGE,F,884,8000,7,4503 PC-CONFINED PERSON HOLDS HOSTAGE,NA,TRUE,NA,NA,F_PC_4503
10011,209(A),PC,KIDNAPPING FOR RANSOM,F,880,2000,7,209(A) PC-KIDNAPPING FOR RANSOM,NA,TRUE,NA,TRUE,F_PC_209(A)
10012,209(B),PC,KIDNAP TO COMMIT ROBBERY,F,880,2000,7,209(B) PC-KIDNAPPING TO COMMIT ROBBERY,NA,TRUE,NA,TRUE,F_PC_209(B)
10013,207/12022.5,PC,KIDNAP W/USE OF FIREARM,F,0,6995,7,207/12022.5 PC-KIDNAP W/USE OF FIREARM,NA,TRUE,NA,TRUE,F_PC_207/12022.5
10015,207/12022(B),PC,KIDNAP W/USE DEADLY WPN,F,0,6994,7,207/12022(B) PC-KIDNAP W/USE DEADLY WEAPON,NA,TRUE,NA,NA,F_PC_207/12022(B)
